2017/01/03 11:07:47 [I] [pay.go:84] [1] enter unifiedOrder.
2017/01/03 11:07:47 [I] [pay.go:36] [1] enter GetWechatPayParams.
2017/01/03 11:07:47 [I] [official_accounts.go:44] [%v] enter ReadOfficialAccount.
2017/01/03 11:07:47 [I] [official_accounts.go:56] [%v] enter ReadOfficialAccount.
2017/01/03 11:07:47 [I] [pay.go:77] [1] left GetWechatPayParams.
2017/01/03 11:07:47 [D] [pay.go:118] Get unified order:: request:: [map[trade_type:JSAPI openid:opu3jw0Qa4JyM-qP-lbIhrQtbNIM out_trade_no:20170103110747-6212 time_start: nonce_str:nonce_str attach:101 time_expire: sign:62CD6345101B0C22E12410324B774B7E appid:wx6f18d544edaab59c device_info: goods_tag: notify_url:http://api.inchuang.com/v1/wechats/notification product_id: total_fee:20 spbill_create_ip:127.0.0.1 body:进销存系统短信充值平台 mch_id:1399659602]]
2017/01/03 11:07:48 [I] [pay.go:133] [1] left unifiedOrder.
2017/01/03 11:07:48 [I] [grpc_server.go:64] [20170103110747-6212] left GetSmsRechargePayJsapiParams.
2017/01/03 11:12:30 [I] [grpc_server.go:68] [20170103111230-2459] enter GetSmsRechargePayNativeParams.
2017/01/03 11:12:30 [I] [pay.go:84] [1] enter unifiedOrder.
2017/01/03 11:12:30 [I] [pay.go:36] [1] enter GetWechatPayParams.
2017/01/03 11:12:30 [I] [official_accounts.go:44] [%v] enter ReadOfficialAccount.
2017/01/03 11:12:30 [I] [official_accounts.go:56] [%v] enter ReadOfficialAccount.
2017/01/03 11:12:30 [I] [pay.go:77] [1] left GetWechatPayParams.
2017/01/03 11:12:30 [D] [pay.go:118] Get unified order:: request:: [map[openid: product_id: total_fee:20 spbill_create_ip:127.0.0.1 time_start: time_expire: goods_tag: sign:557010110303388AF86ADB2DDB01606B appid:wx6f18d544edaab59c mch_id:1399659602 attach:101 out_trade_no:20170103111230-2459 body:进销存系统短信充值平台 nonce_str:nonce_str notify_url:http://api.inchuang.com/v1/wechats/notification trade_type:NATIVE device_info:]]
2017/01/03 11:12:31 [I] [pay.go:133] [1] left unifiedOrder.
2017/01/03 11:12:31 [I] [grpc_server.go:88] [20170103111230-2459] left GetSmsRechargePayNativeParams.
2017/01/03 14:10:32 [I] [grpc_server.go:68] [20170103141032-8055] enter GetSmsRechargePayNativeParams.
2017/01/03 14:10:32 [I] [pay.go:84] [1] enter unifiedOrder.
2017/01/03 14:10:32 [I] [pay.go:36] [1] enter GetWechatPayParams.
2017/01/03 14:10:32 [I] [official_accounts.go:44] [%v] enter ReadOfficialAccount.
2017/01/03 14:10:32 [I] [official_accounts.go:56] [%v] enter ReadOfficialAccount.
2017/01/03 14:10:32 [I] [pay.go:77] [1] left GetWechatPayParams.
2017/01/03 14:10:32 [D] [pay.go:118] Get unified order:: request:: [map[trade_type:NATIVE openid: product_id: sign:A26CD98E98F15C7C6B45645E52891774 mch_id:1399659602 nonce_str:nonce_str attach:101 time_expire: appid:wx6f18d544edaab59c out_trade_no:20170103141032-8055 total_fee:20 notify_url:http://api.inchuang.com/v1/wechats/notification goods_tag: body:进销存系统短信充值平台 device_info: spbill_create_ip:127.0.0.1 time_start:]]
2017/01/03 14:10:33 [I] [pay.go:133] [1] left unifiedOrder.
2017/01/03 14:10:33 [I] [grpc_server.go:88] [20170103141032-8055] left GetSmsRechargePayNativeParams.
2017/01/03 14:16:32 [I] [grpc_server.go:68] [20170103141632-2841] enter GetSmsRechargePayNativeParams.
2017/01/03 14:16:32 [I] [pay.go:84] [1] enter unifiedOrder.
2017/01/03 14:16:32 [I] [pay.go:36] [1] enter GetWechatPayParams.
2017/01/03 14:16:32 [I] [official_accounts.go:44] [%v] enter ReadOfficialAccount.
2017/01/03 14:16:32 [I] [official_accounts.go:56] [%v] enter ReadOfficialAccount.
2017/01/03 14:16:32 [I] [pay.go:77] [1] left GetWechatPayParams.
2017/01/03 14:16:32 [D] [pay.go:118] Get unified order:: request:: [map[attach:101 time_expire: appid:wx6f18d544edaab59c trade_type:NATIVE openid: notify_url:http://test.api.inchuang.com/v1/wechats/notification mch_id:1399659602 nonce_str:nonce_str out_trade_no:20170103141632-2841 total_fee:20 time_start: sign:011F2821E51B1190013AE6F9DACC2952 body:进销存系统短信充值平台 spbill_create_ip:127.0.0.1 goods_tag: product_id: device_info:]]
2017/01/03 14:16:32 [I] [pay.go:133] [1] left unifiedOrder.
2017/01/03 14:16:32 [I] [grpc_server.go:88] [20170103141632-2841] left GetSmsRechargePayNativeParams.
2017/01/03 14:19:00 [I] [grpc_server.go:68] [20170103141900-1692] enter GetSmsRechargePayNativeParams.
2017/01/03 14:19:00 [I] [pay.go:84] [1] enter unifiedOrder.
2017/01/03 14:19:00 [I] [pay.go:36] [1] enter GetWechatPayParams.
2017/01/03 14:19:00 [I] [official_accounts.go:44] [%v] enter ReadOfficialAccount.
2017/01/03 14:19:00 [I] [official_accounts.go:56] [%v] enter ReadOfficialAccount.
